Timestamp,Organization/Resource,Old Tags,,Category 1,Category 2,Category 3,Short Description,Long Description,Website,Location,Phone Number,Audience,Facebook,Twitter,Contact,Service Area
9/27/2012 14:46:22,48Hour Launch ,"Hackathon, Event, Startup Support, Funding",The Company Lab (CO.LAB),Startup Support,"Networking, Funding, Training",N/A,"Weekend-long business startup experience, designed to inspire entrepreneurial action at the local level. Hosted by CO.LAB",,http://colab.co/events/48hourlaunch/,,,,,,,
9/27/2012 15:03:49,4th Floor,Workspace,Chattanooga Public Library,Public & Civic,"Workspace, Training",Resource Provider,"Public laboratory and educational makerspace with a focus on information, design, technology, and the applied arts.",,,,,,,,,
,AIA Chattanooga,"Arts, Arts & Culture, Networking, training, services",,Tech & Design,"Networking, Training",N/A,,AIA Chattanooga serves our members by providing a collective voice while promoting the profession of architecture in Chattanooga.,http://www.aiachatt.org/,,423-488-9900,,,,,
,AIGA Chattanooga ,"Arts & Culture, Networking, tools, training",,Tech & Design,"Networking, Training",N/A,Association for design professionals ,"AIGA advances design as a professional craft, strategic advantage and vital cultural force. As the largest community of design advocates, we bring together practitioners, enthusiasts, and patrons to amplify the voice of design and create the vision for a collective future. We define global standards and ethical practices, guide design education, enhance professional development, and make powerful tools and resources accessible to all.",http://chattanooga.aiga.org/,,,,,,,
,ArtsBuild,"Arts, Arts & Culture, Networking, Grants Funding",,Arts & Culture,"Training, Networking",Innovation District Landmark,"A private, nonprofit united arts fund and arts council that provides a united voice for all cultural organizations and activities in Hamilton County.","Allied Arts of Greater Chattanooga is a private, nonprofit united arts fund and arts council, established in 1969. Allied Arts provides a united voice for all cultural organizations and activities in Hamilton County.

For almost 50 years ArtsBuild has supported the creative future of Hamilton County by investing more than $70 million in our community’s leading arts organizations, funding arts integrations programs for our students and teachers, and ensuring that even our most underserved populations have access to arts programming.",http://artsbuild.com/,"301 E 11th St #300, Chattanooga, TN 37403",(423) 756-2787,,,,,
,AVA (The Association for Visual Arts),"Arts, Arts & Culture, Tools, training, networking",,Arts & Culture,"Training, Networking",Resource Provider,Non-profit organization that provides resources for those who make art.,"AVA, the Association for Visual Arts, is a non-profit organization that works to connect the visual arts and the community-at-large. We do this by providing resources for those who make art (whether professional artists, emerging artists, students or non-artists) and fostering connections among art-makers and audiences.",http://www.avarts.org/,"30 Frazier Avenue, Chattanooga, TN 37405",(423) 265-4282,,,,,
,Benwood Foundation,"Grants Funding, Public & Civic, Civic",,Public & Civic,Funding,N/A,"The Benwood Foundation supports innovative community efforts that help to make Chattanooga great. We believe that collective action is a crucial driver of civic change. Building a great city is everyone’s challenge, everyone’s opportunity, everyone’s work.

",,http://www.benwood.org/,"736 Market Street Suite 1600, Chattanooga, TN 37402 ",423-267-4311,,,,,
,Blank Slate Ventures,"Startup Support, Equity Funding, Funding, Training, Mentoring, Angel Investment Group",,Startup Support,"Funding, Training, Mentoring",Resource Provider,Blank Slate Ventures is a seed fund designed specifically for pre-revenue Startup Support in the Chattanooga region. They like to invest in teams of entrepreneurs who are building companies that have the potential to disrupt their respective industries.,,http://blankslateventures.com/,"One Union Square Suite 300 Chattanooga, TN 37402 ",,,,,,
,BrightBridge Inc,,,Business Development,"Funding, Training",Resource Provider,,"Provides loans to small-, women-, and minority-owned businesses in Southeast Tennessee and 10 counties in North Georgia. They also have a fund for small businesses looking to locate in blighted areas. They manage the USDA’s Intermediate Renewal Program developed for rural small businesses. They also provide access to capital for a wide range of for-profit projects including housing opportunities, community development projects and economic development projects, that principally benefit low and moderate income persons and/or aid in the elimination or prevention of slums and blight.",http://www.brightbridgeinc.org/,"535 Chestnut Street, Suite 161, Chattanooga, TN 37402",(423) 424-4220 corporate,,,,,
,BrightBridge Women’s Business Center,"Female Founders, Regional, Women/ minorities, funding and training, services, Business Development, Debt Funding",BrightBridge Inc,"Business Development, Women & Minorities","Funding, Training",Resource Provider,Provides loans to women-owned businesses in 13 counties in Tennessee and 10 counties in north Georgia.,"The BrightBridge Women’s Business Center is designed to be a resource for women entrepreneurs to assist with the unique issues they face in starting and growing a business. The WBC provides general counseling and training as well as resources and financing information. 
///  
",brightbridgewbc.org,"535 Chestnut Street, Suite 161, Chattanooga, TN 37402",(423) 648-9251 center,,,,,
